Factor Year,Factor Number,Factor Date,Customer ID,Order ID,Start of rental,End of rental,Machine ID,Product Group,Product Category,Amount,Row Reason,Days Sold,Warehouse Unit,Sales Quantity,Sales Unit,Month
2021,IA  000001,2021/01/06,cust01,2020/ON  003184,2020-06-03,2021-04-01,CLI1113,Rent Outfitted,Rent Outfitted,1426.0,ADN,31.0,GG,31.0,GG,6.0
2021,IT  000273,2021/01/31,cust02,2020/ON  007836,2020-11-18,2021-03-09,CLI1097,Rent Special,Rent Outfitted,1550.0,ADS,31.0,GG,31.0,GG,11.0
2021,IT  000278,2021/01/31,cust03,2020/ON  001385,2020-02-20,2022-01-21,CLI0973,Rent Vans,Rent Vans,600.0,ADS,31.0,GG,1.0,MES,2.0
2021,IT  000279,2021/01/31,cust04,2020/ON  008522,2020-11-11,2021-06-18,CLI1098,Rent Vans,Rent Vans,950.0,ADS,31.0,GG,1.0,MES,11.0
2021,IT  000287,2021/01/31,cust05,2020/ON  008326,2020-11-30,2021-02-11,A181,Rent Vans,Rent Vans,899.0,ADS,31.0,GG,31.0,GG,11.0
2021,IT  000294,2021/01/31,cust06,2020/ON  008031,2020-10-30,2023-04-11,A211,Rent Outfitted,Rent Outfitted,1350.0,ADS,31.0,GG,1.0,MES,10.0
2021,IT  000313,2021/01/31,cust07,2020/ON  009323,2020-11-17,2021-02-05,A177,Rent Vans,Rent Vans,1240.0,ADS,31.0,GG,31.0,GG,11.0
2021,IT  000344,2021/01/31,cust08,2020/ON  000087,2020-01-11,2021-01-31,CLI0900,Rent Outfitted,Rent Outfitted,850.0,ADS,31.0,GG,1.0,MES,1.0
2021,IT  000377,2021/01/31,cust09,2019/ON  010621,2019-12-17,2022-08-29,CLI1094,Rent Outfitted,Rent Outfitted,1787.77,ADS,31.0,GG,31.0,GG,12.0
2021,IT  000377,2021/01/31,cust09,2020/ON  000528,2020-01-23,2021-02-28,A203,Rent Outfitted,Rent Outfitted,1643.0,ADS,31.0,GG,31.0,GG,1.0
2021,IT  000377,2021/01/31,cust09,2020/ON  009370,2020-12-09,2022-10-13,A208,Rent Outfitted,Rent Outfitted,1600.0,ADS,31.0,GG,1.0,MES,12.0
2021,IT  000484,2021/01/31,cust10,2020/ON  007595,2020-10-24,2021-09-10,CLI0918,Rent Vans,,500.0,ADS,31.0,GG,1.0,MES,10.0
2021,IT  000485,2021/01/31,cust10,2020/ON  008514,2020-11-21,2021-06-19,CLI0914,Rent Vans,Rent Vans,413.23,ADS,31.0,GG,31.0,GG,11.0
2021,IT  000486,2021/01/31,cust10,2020/ON  005466,2020-08-01,2022-06-24,CLI0976,Rent Vans,Rent Vans,600.0,ADS,31.0,GG,1.0,MES,8.0
2021,IT  000510,2021/01/31,cust11,2019/ON  010525,2019-12-16,2021-04-06,CLI1093,Rent Outfitted,Rent Outfitted,1550.0,ADS,31.0,GG,31.0,GG,12.0
2021,IT  000509,2021/01/31,cust11,2020/ON  008860,2020-11-20,2021-05-23,A213,Rent Outfitted,Rent Outfitted,1395.0,ADS,31.0,GG,31.0,GG,11.0
2021,IA  000066,2021/03/04,cust01,2020/ON  003184,2020-06-03,2021-04-01,CLI1113,Rent Outfitted,Rent Outfitted,1426.0,ADN,31.0,GG,31.0,GG,6.0
2021,IT  001570,2021/03/31,cust12,2021/ON  000262,2021-01-16,2021-03-27,A184,Rent Outfitted,Rent Outfitted,1780.0,ADS,31.0,GG,1.0,MES,1.0
2021,IT  001619,2021/03/31,cust03,2020/ON  001385,2020-02-20,2022-01-21,CLI0973,Rent Vans,Rent Vans,600.0,ADS,31.0,GG,1.0,MES,2.0
2021,IT  001620,2021/03/31,cust03,2020/ON  001393,2020-02-20,2023-05-30,CLI1083,Rent Vans,Rent Vans,600.0,ADS,31.0,GG,1.0,MES,2.0
2021,IT  001622,2021/03/31,cust04,2020/ON  008522,2020-11-11,2021-06-18,CLI1098,Rent Vans,Rent Vans,950.0,ADS,31.0,GG,1.0,MES,11.0
2021,IT  001636,2021/03/31,cust06,2020/ON  008031,2020-10-30,2023-04-11,A211,Rent Outfitted,Rent Outfitted,1350.0,ADS,31.0,GG,1.0,MES,10.0
2021,IT  001639,2021/03/31,cust13,2021/ON  000588,2021-01-22,2021-12-28,A182,Rent Outfitted,Rent Outfitted,1200.0,ADS,31.0,GG,1.0,MES,1.0
2021,IT  001718,2021/03/31,cust10,2020/ON  005466,2020-08-01,2022-06-24,CLI0976,Rent Vans,Rent Vans,600.0,ADS,31.0,GG,1.0,MES,8.0
2021,IT  001715,2021/03/31,cust10,2020/ON  007595,2020-10-24,2021-09-10,CLI0918,Rent Vans,,500.0,ADS,31.0,GG,1.0,MES,10.0
2021,IT  001717,2021/03/31,cust10,2021/ON  001032,2021-02-03,2022-02-11,CLI0946,Rent Vans,Rent Vans,400.0,ADS,31.0,GG,1.0,MES,2.0
2021,IT  001746,2021/03/31,cust11,2019/ON  010525,2019-12-16,2021-04-06,CLI1093,Rent Outfitted,Rent Outfitted,1550.0,ADS,31.0,GG,31.0,GG,12.0
2021,IT  001747,2021/03/31,cust11,2020/ON  008860,2020-11-20,2021-05-23,A213,Rent Outfitted,Rent Outfitted,1395.0,ADS,31.0,GG,31.0,GG,11.0
2021,IT  001810,2021/03/31,cust14,2021/ON  001812,2021-03-01,2021-06-07,A163,Rent with Crane,Rent with Crane,2100.0,ADS,31.0,GG,1.0,MES,3.0
2021,IT  001831,2021/03/31,cust15,2021/CC  000133,2021-03-01,2021-04-13,S637,Rotating Boom Lifts,Articulated Electric Boom Lifts,2108.0,ADN,31.0,GG,31.0,GG,3.0
2021,IT  001839,2021/03/31,cust09,2019/ON  010621,2019-12-17,2022-08-29,CLI1094,Rent Outfitted,Rent Outfitted,1787.77,ADS,31.0,GG,31.0,GG,12.0
2021,IT  001839,2021/03/31,cust09,2020/ON  009370,2020-12-09,2022-10-13,A208,Rent Outfitted,Rent Outfitted,1600.0,ADS,31.0,GG,1.0,MES,12.0
2021,IT  001839,2021/03/31,cust09,2021/ON  002965,2021-03-01,2021-04-27,A203,Rent Outfitted,Rent Outfitted,1600.0,ADS,31.0,GG,1.0,MES,3.0
2021,IT  002865,2021/05/31,cust16,2021/ON  002264,2021-03-15,2021-09-16,A181,Rent Vans,Rent Vans,950.0,ADS,31.0,GG,1.0,MES,3.0
2021,IT  002877,2021/05/31,cust03,2020/ON  001393,2020-02-20,2023-05-30,CLI1083,Rent Vans,Rent Vans,600.0,ADS,31.0,GG,1.0,MES,2.0
2021,IT  002879,2021/05/31,cust04,2020/ON  008522,2020-11-11,2021-06-18,CLI1098,Rent Vans,Rent Vans,950.0,ADS,31.0,GG,1.0,MES,11.0
2021,IT  002903,2021/05/31,cust06,2020/ON  008031,2020-10-30,2023-04-11,A211,Rent Outfitted,Rent Outfitted,1090.0,ADS,31.0,GG,1.0,MES,10.0
2021,IT  002905,2021/05/31,cust13,2021/ON  000588,2021-01-22,2021-12-28,A182,Rent Outfitted,Rent Outfitted,1200.0,ADS,31.0,GG,1.0,MES,1.0
2021,IT  002927,2021/05/31,cust12,2021/ON  002647,2021-03-27,2021-08-24,CLI1100,Rent Outfitted,Rent Outfitted,1780.0,ADS,31.0,GG,1.0,MES,3.0
2021,IT  003150,2021/05/31,cust10,2020/ON  005466,2020-08-01,2022-06-24,CLI0976,Rent Vans,Rent Vans,600.0,ADS,31.0,GG,1.0,MES,8.0
2021,IT  003147,2021/05/31,cust10,2020/ON  007595,2020-10-24,2021-09-10,CLI0918,Rent Vans,,500.0,ADS,31.0,GG,1.0,MES,10.0
2021,IT  003148,2021/05/31,cust10,2020/ON  008514,2020-11-21,2021-06-19,CLI0914,Rent Vans,Rent Vans,413.23,ADS,31.0,GG,31.0,GG,11.0
2021,IT  003149,2021/05/31,cust10,2021/ON  001032,2021-02-03,2022-02-11,CLI0946,Rent Vans,Rent Vans,400.0,ADS,31.0,GG,1.0,MES,2.0
2021,IT  003174,2021/05/31,cust09,2019/ON  010621,2019-12-17,2022-08-29,CLI1094,Rent Outfitted,Rent Outfitted,1787.77,ADS,31.0,GG,31.0,GG,12.0
2021,IT  003174,2021/05/31,cust09,2020/ON  009370,2020-12-09,2022-10-13,A208,Rent Outfitted,Rent Outfitted,1600.0,ADS,31.0,GG,1.0,MES,12.0
2021,IT  004272,2021/07/31,cust16,2021/ON  002264,2021-03-15,2021-09-16,A181,Rent Vans,Rent Vans,1400.0,ADS,31.0,GG,1.0,MES,3.0
2021,IT  004282,2021/07/31,cust17,2021/ON  004562,2021-06-01,2021-08-25,A177,Rent Vans,Rent Vans,1000.0,ADS,31.0,GG,1.0,MES,6.0
2021,IT  004293,2021/07/31,cust18,2021/ON  005323,2021-07-01,2022-01-31,CLI1093,Rent Outfitted,Rent Outfitted,1250.0,ADS,31.0,GG,1.0,MES,7.0
2021,IT  004294,2021/07/31,cust03,2020/ON  001385,2020-02-20,2022-01-21,CLI0973,Rent Vans,Rent Vans,600.0,ADS,31.0,GG,1.0,MES,2.0
