Product A,Product B,Support A,Support B,Support (A ∩ B),Confidence (A → B),Confidence (B → A),Lift (A → B),Lift (B → A)
Electric Crane Accessory,Transporter,0.0208,0.0017,0.0017,0.0833,1.0,48.0833,48.0833
Electric Cranes,Transporter,0.0763,0.0017,0.0017,0.0227,1.0,13.1136,13.1136
Rent Special,Rent Vans,0.0225,0.1386,0.0156,0.6923,0.1125,4.9933,4.9933
Electric Crane Accessory,Electric Cranes,0.0208,0.0763,0.0052,0.25,0.0682,3.2784,3.2784
Machines with Operator,Yard Staff,0.2565,0.0087,0.0069,0.027,0.8,3.1189,3.1189
Operators,Yard Staff,0.2946,0.0087,0.0069,0.0235,0.8,2.7153,2.7153
Electric Crane Accessory,Truck Cranes,0.0208,0.0624,0.0035,0.1667,0.0556,2.6713,2.6713
Column Lifts,Rent with Crane,0.0312,0.0711,0.0052,0.1667,0.0732,2.3455,2.3455
Rent Outfitted,Rent with Crane,0.1993,0.0711,0.0329,0.1652,0.4634,2.3251,2.3251
Rent Outfitted,Rent Vans,0.1993,0.1386,0.0607,0.3043,0.4375,2.1951,2.1951
Electric Cranes,Truck Cranes,0.0763,0.0624,0.0104,0.1364,0.1667,2.1856,2.1856
Truck Mounted Platforms,Various Accessories,0.5009,0.0017,0.0017,0.0035,1.0,1.9965,1.9965
Machines with Operator,Operators,0.2565,0.2946,0.1421,0.5541,0.4824,1.8805,1.8805
Electric Crane Accessory,Telehandler Accessory,0.0208,0.2669,0.0104,0.5,0.039,1.8734,1.8734
Electric Cranes,Rent with Crane,0.0763,0.0711,0.0087,0.1136,0.122,1.5992,1.5992
Rent Vans,Rent with Crane,0.1386,0.0711,0.0156,0.1125,0.2195,1.5832,1.5832
Telehandler Accessory,Yard Staff,0.2669,0.0087,0.0035,0.013,0.4,1.4987,1.4987
Rotating Boom Lifts,Transporter,0.6742,0.0017,0.0017,0.0026,1.0,1.4833,1.4833
Electric Cranes,Vertical Lifts,0.0763,0.5459,0.0555,0.7273,0.1016,1.3322,1.3322
Machines with Operator,Rent with Crane,0.2565,0.0711,0.0243,0.0946,0.3415,1.3312,1.3312
Truck Mounted Platforms,Truck Platform Accessory,0.5009,0.0052,0.0035,0.0069,0.6667,1.331,1.331
Telehandlers,Truck Cranes,0.5286,0.0624,0.0433,0.082,0.6944,1.3138,1.3138
Column Lifts,Machines with Operator,0.0312,0.2565,0.0104,0.3333,0.0405,1.2995,1.2995
